id,price,brand,model,processor,ram memory,display size,storage capacity,cpu cores,graphics card,rating,reviews,name
c67244e8a9,64999,chiwi,MiniBook X,2.0,12,10.5,512,2,,0.0,0,"CHIWI MiniBook X N100 Operating System Windows 11 Home Finish Space Gray Display 10.51 inch, 1920 x 1200, 16:10 IPS"
d561311607,65000,dell,Latitude 7490,5.0,8,14.0,256,4,1500.0,0.0,0,Dell Latitude 7490 Core I5 7th Gen 8 GB RAM 256 GB SSD Windows 10
f771ca4687,109990,hp,15S Intel,5.0,8,15.6,512,6,,0.0,0,HP 15S Intel Core i5 12th Gen – 8GB DDR4 RAM – 512GB NVMe SSD – Iris Xe Integrated Graphics – Backlit Keyboard – 15.6″ FHD Display
0c71db88f3,157777,asus,TUF Gaming,5.0,8,15.6,512,6,3060.0,0.0,0,"ASUS TUF Gaming F15-FX506HM / i5 11th Gen 11400H /Nvidia Rtx 3060 6GB / 8GB RAM / 512GB SSD / 15.6"" IPS 144Hz"
361db8aff7,66000,acer,Aspire 5,3.0,8,15.6,256,2,1500.0,0.0,0,Acer Aspire 5 i3 11th Gen 8gb Ram 256gb Ssd
27410897f2,235000,apple,MacBook Air,7.5,16,13.6,512,8,2800.0,0.0,0,"Apple MacBook Air (13.6 inch M2, 2022) Apple M2 Chip with 8C CPU, 10C GPU, 16GB RAM, 512GB SSD - EvoStore"
672da00743,184900,apple,MacBook Air,7.5,8,13.6,256,6,,0.0,0,Apple MacBook Air 13.6 inch M3 8GB Ram 256GB Storage - Oliz Store
e585361095,510000,apple,MacBook Pro,6.5,32,16.0,1024,10,2500.0,0.0,0,"Apple MacBook Pro 16.2"" 10-Core CPU 32-Core GPU 32GB 1TB - Oliz Store"
5d42bbf4a0,156000,asus,VivoBook S,7.0,16,14.0,512,8,2800.0,0.0,0,"Asus VivoBook S 14 Flip OLED 2022 TP3402ZA I7 12TH GEN 12700H / 16GB RAM / 512GB SSD / 14"" FHD 2-in-1 Touch Display / Active Stylus / Backlit KB / Magic NumPad"
be109b9704,63000,hp,14S FQ1052AU,3.0,4,14.0,256,4,,0.0,0,"HP 14S-FQ1052AU AMD Ryzen 3 5300U 4GB 256GB SSD 14"""
65b8518b39,116215,asus,VivoBook 15,5.0,8,15.6,512,6,2800.0,0.0,0,"Asus VivoBook 15 K513EQ i5 11th Gen / 8GB RAM / 512GB SSD / NVIDIA MX350 2GB / 15.6"" FHD display"
eff46a3496,146666,asus,TUF Gaming,5.0,8,15.6,512,12,3050.0,0.0,0,"Asus TUF Gaming F15 FX507ZC4 (2023)- (i5, 12th Gen 12500H, RTX 3050 Graphics, 8 Gb RAM, 512 Gb SSD, 15.6"" FHD 144Hz Display, Windows 11, Backpack, Mouse | Nagmani International"
bf4ddd9073,114990,asus,Zenbook Flip,7.0,8,15.6,256,6,,0.0,0,Asus Zenbook Flip 15 Q508U AMD Ryzen 7 5700U 8GB 256GB SSD 15.6″ FHD Touchscreen x 360 Rotate NVIDIA MX450 2GB Laptop
