price,brand,model,processor,ram memory,display size,storage capacity,cpu cores,graphics card,graphics memory,rating,reviews,name
65990,lenovo,IdeaPad 1,Intel Core i5,8,15.6,256,Deca Core,,,0.0,0,Lenovo IdeaPad 1 i5 12th Gen 8GB RAM 256GB SSD 15.6″ FHD Laptop
198000,apple,MacBook Air,Apple M2,8,13.6,512,,,,4.0,1,Apple MacBook Air 13.6inch M2/8C CPU/10C GPU/8GB/512GB - EvoStore
60000,dell,Vostro 3520,Intel Core i5,,,,Not Specified,,,0.0,0,"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 256GB SSD | 15.6"""
77999,acer,Aspire 3,AMD,,,,Quad,,,0.0,0,"Acer Aspire 3 AMD Ryzen™ 5 7520U/ 8GB Ram / 512GB SSD/ WIN11/ 14"" (1920x1080) FHD Display SILVER + Protective Sleeve"
102000,dell,Vostro 3520,Intel Core i7,8,15.6,512,,,2,0.0,0,Dell Vostro 3520 /I7-1255U / MX550 / 8GB RAM / 512GB SSD / 15.6″ FHD
85000,lenovo,IdeaPad 3,Intel Core i5,8,15.6,512,,,,0.0,0,"Lenovo IdeaPad 3 i5 12th Gen/8gb/512gb/15.6""FHD/Backlit keyboard/fingerprint/win11pro"
119999,acer,Swift Go,Intel Core i7,16,14,512,Not Specified,,,0.0,0,Acer Swift Go 14 Intel EVO i7 13th Gen 1355U – 16GB DDR5 RAM – 512GB NVMe SSD – Intel Integrated Graphics – 14″ ( 1920 x 1200 ) Touch Display – Backlit Keyboard – FingerPrint – Windows 11 – Silver
209000,hp,Spectre x360,Not Specified,16,Not Specified,512,,,,0.0,0,"HP Spectre x360 14 2023 2-in-1 i7 13th Gen / 16GB RAM / 512GB SSD / 13.5"" WUXGA (3072x1920) display TouchScreen"
130000,asus,Vivobook S,Ryzen 5,8,14,512,Not Specified,,1 & Under,0.0,0,Asus Vivobook S 14 OLED M5406NA-PP085W - Ryzen 5 7535HS | 8GB | 512GB SSD | AMD Radeon™ Graphics | 2 Years International Warranty
61800,lenovo,IdeaPad 1,Ryzen 5 Quad Core,8,14,512,Quad Core,,,0.0,0,"Lenovo IdeaPad 1 14.0"" Laptop, 15.0"" FHD Display, AMD Ryzen 5 7520U , 8GB RAM, 512GB Storage, DOS Win 11, Cloud Grey"
66890,lenovo,Ideapad Slim,Intel Core i5,16,15.6,512,Deca Core,,,0.0,0,"Lenovo Ideapad Slim 3 15IAH8 i5 12450H | 16GB RAM | 512GB SSD | Intel UHD Graphics | 15.6"" FHD DISPLAY"
66999,lenovo,2023 IdeaPad,Intel Core i5,8,14,256,Octa Core,,,0.0,0,Lenovo 2023 IdeaPad Slim 3 i5-13420H 13th Gen/8GB RAM/256GB SSD/14″ Full HD Screen
145000,acer,Intel Core,Intel Core i7,8,14,256,,,,0.0,0,"ACER Intel Core i7-1165G7/Memory 8GB DDR4 RAM Storage/256GB SSD Graphics MX330 2GB Screen: 14” FHD, Backlit KB"
101500,dell,Inspiron 15,Ryzen 7,8,15.6,512,Not Specified,,1 & Under,0.0,0,Dell Inspiron 15 3525 - AMD Ryzen 7 5825U | 8GB | 512SSD | Radeon Graphics | FHD
